record_id,damaging_comment,human_label
4188,"Comments about being overweight so my eating disorder is not as serious, sometimes even comments that they don't think I have an eating disorder or don't look like I have one.",Yes
1893,"Too many to explain, and it would be emotionally traumatic to recount them all. But there are some (actually, MANY) unhelpful providers who've made my own illness worse either through their criticisms about inflicting an ED upon myself, or not being sick enough to merit additional treatment, etc.",Yes
1690,"I saw a cardiologist twice and was told I didn't look like I had an eating disorder. I assumed he was talking about my body, but he later clarified that he meant my race and gender.",No
764,Same as above. Said that I had to weigh myself to see if my met the criteria of anorexia.,Yes
724,Sharing my weight with me when asked not to.,No
2800,"'I don't think it's an eating disorder.'   A person who treated me said this after I described my symptoms, and shortly later, I was diagnosed with an eating disorder.",No
3772,'You need to exercise more and will feel better''. My pediatrician said this even though I had been exercising for hours daily.,Yes
1770,"Dr saying I don't have a problem, recommending I increase my eating but no more than 1 apple because don't want to become overweight.",Yes
1771,When I was severely underweight my PCP suggested I eat an extra apple each day and then retracted and said not really- that would be,No
1975,Primary care providers not educated,No
126,"The first time I sought a therapist they stated that I sounded like 'a typical teenage girl worried about weight' which was disheartening as it took me a long time to finally agree to seeing a therapist. However, I met a wonderful therapist after that, the experience was just a little upsetting.   Also non-ED providers accidentally revealing my weight has been a challenge or stating that weight was required when it is not.",No
2152,"Praise for losing weight when severely struggling with ED, being told I was fine because I didn't look sick, being told to lose weight, eat healthy, and exercise whenever at my PCP",Yes
2904,Even with an eating disorder diagnosis my primary care dr comments on my BMI and asks if I exercise. My BMI is 26.8 my psychiatrist asks me if I was ever told I was under weight when I was actively engaging in behaviors because my BMI was normal. It was 20.5,Yes
1511,Unhelpful more than damaging more likely in that I am attempting to receive medical help through a no profit organization where seeing a specialist is difficult and the training of medical professionals on the effects of eating disorders seems to be less than desired from low heart rate realizations to blood work to the full impact of interior organs that mother stresses about that I am apparently in denial over.,No
4091,Most of the 40 years I had a diagnosis of BN providers did not believe or take me seriously.  This is often a hidden disorder.,No
3607,"Told to just eat a burger, told I must not actually have an ED when my weight was stable",Yes
